# Migration Report
# Generated: 2026-08-04T04:52:25.297Z
# Elapsed: 5.2s
# Migrated: 2 | Skipped: 1580 | Errors: 0
#
SKIPPED | BIO/101/2023/Bio101-Topic 1-Chemistry of water (By Dr. Rajesh Ramchandran).ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Bio101-Topic 2-Macromolecules(By Dr Rajesh Ramchandran).ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Carbohydrates and Lipids.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Cell Signalling.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Evolution.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Immunology.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Intro to Cells .pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Nucleic Acid.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/101/2023/Proteins.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2017/Midsems (1) ms17.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2017/Midsems (2) ms17.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2018/Mid Sem 1 ms18 with answers.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2018/MidSem 2 ms18 with answers.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Part 1_ MS 19 End Semester Examination.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Part 2_ MS 19 End Semester Examination.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Part 3_ MS 19 End Semester Examination.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Practice Problems/Practice Problems Set 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Practice Problems/Practice Problems Set 3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Practice Problems/Practice problems Set 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2019/Practice Problems/Solns Practice Problems Set 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 4.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 5.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 7.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2024/Help_session/BIO102 Help Session - 8.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/Conceptual Questions Set 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/HWE_Drill_Problems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/HWE_Drill_Problems_Answer Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/HWE_Practice_Problems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/HWE_Problems_Answer_Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/Migration_and_Drift Practice problems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/Practice Examination BIO 102.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/conceptual questions set 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Exercises/practice problem set 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/MID_SEM_01_QP.jpeg |  |  | Already QPR-LFS-R2
